,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
166,FIREWOOD,1.529,0.176,3.882,0.588,2.765,4.765,visual
167,DAYTIMES,1.143,0.048,0.381,1.286,0.286,4.762,visual
168,WATER FAUCET,2.905,0.619,3.81,0.143,0.238,4.762,visual
169,NUDITY,0.667,0.758,2.545,1.576,0.697,4.758,visual
170,ORNAMENT,0.6,0.05,2.2,0.2,0.15,4.75,visual
171,BASKETBALL PLAYER,3.188,0.375,1.625,0.562,0.938,4.75,visual
172,ENORMOUS,0.65,0.1,2.0,0.65,0.1,4.75,visual
173,VISUAL,0.25,0.0,0.25,0.05,0.0,4.75,visual
174,FRUMPY,0.375,0.0,0.562,1.0,0.188,4.75,visual
175,TELEPHOTOGRAPHIC,0.167,0.0,0.083,0.5,0.0,4.75,visual
176,TREE,1.45,0.3,2.9,0.6,1.5,4.75,visual
177,NIGHT,2.0,0.312,0.375,1.312,0.312,4.75,visual
178,TOWBOAT,3.25,0.5,2.062,0.5,0.688,4.75,visual
179,COMIC STRIP,0.45,0.05,1.55,0.55,0.1,4.75,visual
180,UNWRINKLED,0.65,0.0,2.85,0.4,0.0,4.75,visual
181,STYLISH,0.368,0.105,0.632,0.632,0.053,4.737,visual
182,SKY,0.316,0.105,0.053,0.526,0.105,4.737,visual
183,LED,0.211,0.053,0.632,0.0,0.0,4.737,visual
184,VISION,0.474,0.474,0.421,0.895,0.368,4.737,visual
185,MENU,1.211,0.421,2.684,0.105,0.158,4.737,visual
186,TABLE,0.684,0.053,3.263,0.158,0.158,4.737,visual
187,COLORFULNESS,0.316,0.263,0.316,0.579,0.105,4.737,visual
188,FRECKLES,0.067,0.0,1.133,0.133,0.0,4.733,visual
189,T-SHIRT,0.333,0.333,4.067,0.533,0.733,4.733,visual
190,COLOR WHEEL,0.067,0.0,0.267,0.067,0.0,4.733,visual
191,FINE PRINT,0.6,0.267,0.933,0.4,0.2,4.733,visual
